filename,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,Straight_Hair,Wavy_Hair,Bald,Bangs,Receding_Hairline
0.jpg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.jpg,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.jpg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3.jpg,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.jpg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5.jpg,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.jpg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.jpg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
